"Kermadec Sequence - Locatable Events",,,,,,,,,,,,
"From 2019/03/03 00:00:00 UTC to 2019/03/13 23:59:59 UTC",,,"P - S 30 sec @ GLKS",,,,,,,,,
"Date (UTC)","Arrival time on GLKZ","Event triggered autolocation Y/N","Artificial Event created by GHA","Event ID (if applicable)","Reached Mainland",MLv,mB,"Did USGS Locate Y/N","USGS Magnitude (mww)","Max Amplitude (Z) @ GLKZ","Max Amplitude (Z) @ HAZ",Comments
2019/03/08,05:34:58,No,No,N/A,Yes,N/A,N/A,No,N/A,,,"On mainland but could only pick S phases so didn't commit. Best estimate MLv 4.2"
2019/03/08,06:16:43,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/08,06:18:19,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/08,06:22:18,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/08,06:48:51,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/08,07:07:01,No,No,N/A,,N/A,N/A,No,N/A,,,"None of the highlighted events below have been checked for whether they were detectable/locatable from the mainland'"
2019/03/08,07:13:25,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,07:56:13,No,Yes,N/A,Yes,4.71,N/A,No,N/A,,,
2019/03/08,08:08:30,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,08:12:46,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,08:21:41,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,08:46:13,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,08:57:37,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,08:58:19,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,09:10:26,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,09:30:30,Yes,N/A,2019p179455,Yes,4.1,4.69,No,N/A,,,"Much deeper than sequence events - might need to revisit?"
2019/03/08,09:48:45,Yes,N/A,2019p179484,Yes,5.08,4.93,No,N/A,,,
2019/03/08,10:03:16,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,10:14:37,No,No,N/A,No,N/A,N/A,No,N/A,,,"Definitely won't be on mainland"
2019/03/08,10:20:46,Yes,N/A,2019p179549,Yes,4.74,5.04,No,N/A,,,
2019/03/08,10:30:31,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,10:54:07,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,10:57:07,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,10:58:53,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,11:15:26,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,11:32:44,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,11:52:17,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,11:55:29,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,11:58:00,Yes,N/A,2019p179726,Yes,5.82,5.42,Yes,5,,,
2019/03/08,12:07:58,Yes,N/A,2019p179749,Yes,4.85,N/A,No,N/A,,,
2019/03/08,12:12:11,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,12:23:11,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,12:48:30,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,12:52:32,Yes,N/A,2019p179831,Yes,5.11,5.1,Yes,5,,,
2019/03/08,13:01:19,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,13:17:15,No,No,N/A,,N/A,N/A,No,N/A,,,"Won't be on mainland"
2019/03/08,13:26:32,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,13:42:27,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,14:38:11,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,15:04:33,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,15:39:46,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,16:26:17,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,16:45:50,Yes,N/A,2019p180267,Yes,4.88,4.85,No,N/A,,,
2019/03/08,16:49:00,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,17:06:06,No,No,N/A,,N/A,N/A,No,N/A,,,"Double event"
2019/03/08,17:09:45,Yes,N/A,2019p180312,Yes,4.32,4.41,No,N/A,,,
2019/03/08,17:14:31,No,No,N/A,,N/A,N/A,No,N/A,,,"Won't be on mainland"
2019/03/08,17:27:59,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,17:34:04,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,18:04:49,Yes,No,2019p180415,Yes,4.59,4.52,No,N/A,,,
2019/03/08,18:29:41,No,Yes,2019p180459,Yes,4.56,4.72,No,N/A,,,
2019/03/08,19:02:05,No,No,N/A,,N/A,N/A,No,N/A,,,"Won't be on mainland"
2019/03/08,19:06:18,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,19:18:12,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,20:41:30,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,21:17:14,No,Yes,2019p180774,Yes,4.27,N/A,No,N/A,,,
2019/03/08,21:25:19,No,No,N/A,,N/A,N/A,No,N/A,,,"Might be too close to Raoul"
2019/03/08,21:30:57,No,No,N/A,,N/A,N/A,No,N/A,,,
2019/03/08,23:19:49,No,Yes,2019p181007,Yes,4.59,4.46,No,N/A,,,
2019/03/08,23:24:46,No,No,N/A,No,N/A,N/A,No,N/A,,,"Won't be on mainland"
2019/03/09,00:57:35,No,Yes,2019p181187,Yes,4.12,4.6,No,N/A,,,
2019/03/09,03:02:03,No,Yes,2019181421,Yes,4.2,N/A,No,N/A,,,
2019/03/09,05:00:05,No,no,no,No,N/A,N/A,No,N/A,,,
2019/03/09,08:04:55,No,no,no,No,N/A,N/A,No,N/A,,,
